onset	duration	param_value	trial_type
4.491	1.032	n/a	dot_stim_validtrials
13.289	1.2	n/a	dot_stim_validtrials
21.322	1.116	n/a	dot_stim_validtrials
30.854	1.017	n/a	dot_stim_validtrials
42.137	1.166	n/a	dot_stim_validtrials
51.169	0.984	n/a	dot_stim_validtrials
61.702	1.133	n/a	dot_stim_validtrials
70.984	1.15	n/a	dot_stim_validtrials
79.967	1.4	n/a	dot_stim_validtrials
89.499	1.067	n/a	dot_stim_validtrials
99.282	0.917	n/a	dot_stim_validtrials
108.01	1.084	n/a	dot_stim_validtrials
118.05	1.283	n/a	dot_stim_validtrials
126.33	1.25	n/a	dot_stim_validtrials
135.46	1.034	n/a	dot_stim_validtrials
143	1.4	n/a	dot_stim_validtrials
151.53	0.867	n/a	dot_stim_validtrials
161.09	1.067	n/a	dot_stim_validtrials
168.38	1.05	n/a	dot_stim_validtrials
176.76	1.116	n/a	dot_stim_validtrials
185.79	1.45	n/a	dot_stim_validtrials
194.32	0.983	n/a	dot_stim_validtrials
202.66	1.017	n/a	dot_stim_validtrials
212.24	0.9	n/a	dot_stim_validtrials
221.52	0.95	n/a	dot_stim_validtrials
229.05	1.217	n/a	dot_stim_validtrials
239.09	1.217	n/a	dot_stim_validtrials
249.87	1.267	n/a	dot_stim_validtrials
260.4	1.333	n/a	dot_stim_validtrials
268.68	1	n/a	dot_stim_validtrials
277.07	1	n/a	dot_stim_validtrials
285.1	1.05	n/a	dot_stim_validtrials
296.13	1.083	n/a	dot_stim_validtrials
304.67	1.05	n/a	dot_stim_validtrials
313.2	1	n/a	dot_stim_validtrials
323.48	0.983	n/a	dot_stim_validtrials
335.01	0.784	n/a	dot_stim_validtrials
344.55	1.033	n/a	dot_stim_validtrials
354.08	0.884	n/a	dot_stim_validtrials
365.61	1.05	n/a	dot_stim_validtrials
375.39	1.167	n/a	dot_stim_validtrials
383.93	1.266	n/a	dot_stim_validtrials
392.71	1.1	n/a	dot_stim_validtrials
402.34	0.9	n/a	dot_stim_validtrials
413.12	0.884	n/a	dot_stim_validtrials
423.65	0.866	n/a	dot_stim_validtrials
433.19	0.984	n/a	dot_stim_validtrials
441.97	1.167	n/a	dot_stim_validtrials
451.45	0.967	n/a	dot_stim_validtrials
462.99	0.9	n/a	dot_stim_validtrials
472.32	1.05	n/a	dot_stim_validtrials
480.85	0.767	n/a	dot_stim_validtrials
490.63	0.95	n/a	dot_stim_validtrials
500.41	1.033	n/a	dot_stim_validtrials
540.46	1.1	n/a	dot_stim_validtrials
550.49	1.033	n/a	dot_stim_validtrials
558.29	1.384	n/a	dot_stim_validtrials
574.21	1.1	n/a	dot_stim_validtrials
581.69	0.934	n/a	dot_stim_validtrials
592.72	0.85	n/a	dot_stim_validtrials
600.76	1.067	n/a	dot_stim_validtrials
609.04	0.834	n/a	dot_stim_validtrials
616.82	1.067	n/a	dot_stim_validtrials
625.85	1.15	n/a	dot_stim_validtrials
636.89	1.033	n/a	dot_stim_validtrials
645.67	1.034	n/a	dot_stim_validtrials
655.7	1.2	n/a	dot_stim_validtrials
663.74	1.016	n/a	dot_stim_validtrials
672.52	1.134	n/a	dot_stim_validtrials
683.8	1.033	n/a	dot_stim_validtrials
695.08	0.967	n/a	dot_stim_validtrials
704.61	1.101	n/a	dot_stim_validtrials
713.9	1.433	n/a	dot_stim_validtrials
723.43	0.933	n/a	dot_stim_validtrials
731.81	1.1	n/a	dot_stim_validtrials
741.85	0.95	n/a	dot_stim_validtrials
749.63	1.1	n/a	dot_stim_validtrials
759.41	1.083	n/a	dot_stim_validtrials
770.69	1.134	n/a	dot_stim_validtrials
781.48	1.033	n/a	dot_stim_validtrials
789.51	1.217	n/a	dot_stim_validtrials
799.04	1.05	n/a	dot_stim_validtrials
808.57	1.134	n/a	dot_stim_validtrials
817.86	1.267	n/a	dot_stim_validtrials
825.89	1.216	n/a	dot_stim_validtrials
836.92	1.033	n/a	dot_stim_validtrials
845.95	0.983	n/a	dot_stim_validtrials
854.24	1.3	n/a	dot_stim_validtrials
862.27	1.1	n/a	dot_stim_validtrials
872.05	0.817	n/a	dot_stim_validtrials
891.22	1.034	n/a	dot_stim_validtrials
900.6	0.933	n/a	dot_stim_validtrials
910.63	1.183	n/a	dot_stim_validtrials
920.41	0.833	n/a	dot_stim_validtrials
927.95	1.166	n/a	dot_stim_validtrials
936.98	1.15	n/a	dot_stim_validtrials
946.76	1.033	n/a	dot_stim_validtrials
955.39	0.917	n/a	dot_stim_validtrials
964.38	1.117	n/a	dot_stim_validtrials
973.91	1.1	n/a	dot_stim_validtrials
983.19	1.1	n/a	dot_stim_validtrials
991.22	1.017	n/a	dot_stim_validtrials
1000	1.117	n/a	dot_stim_validtrials
1008	1.467	n/a	dot_stim_validtrials
1016.9	1.033	n/a	dot_stim_validtrials
1025.1	0.984	n/a	dot_stim_validtrials
1032.6	0.95	n/a	dot_stim_validtrials
1071.9	1.2	n/a	dot_stim_validtrials
1083.2	1	n/a	dot_stim_validtrials
