onset	duration	param_value	trial_type
3.8398	1.184	n/a	dot_stim_validtrials
12.889	1.017	n/a	dot_stim_validtrials
22.422	1.017	n/a	dot_stim_validtrials
32.204	0.767	n/a	dot_stim_validtrials
40.737	0.784	n/a	dot_stim_validtrials
49.719	0.9	n/a	dot_stim_validtrials
59.752	0.884	n/a	dot_stim_validtrials
70.534	1.183	n/a	dot_stim_validtrials
79.367	0.834	n/a	dot_stim_validtrials
88.949	0.616	n/a	dot_stim_validtrials
99.232	0.85	n/a	dot_stim_validtrials
108.51	0.916	n/a	dot_stim_validtrials
118.05	0.75	n/a	dot_stim_validtrials
127.83	0.95	n/a	dot_stim_validtrials
136.41	0.634	n/a	dot_stim_validtrials
145.39	0.917	n/a	dot_stim_validtrials
153.68	0.666	n/a	dot_stim_validtrials
162.99	0.717	n/a	dot_stim_validtrials
172.53	0.7	n/a	dot_stim_validtrials
182.56	0.884	n/a	dot_stim_validtrials
191.44	0.584	n/a	dot_stim_validtrials
200.22	0.583	n/a	dot_stim_validtrials
209.51	0.634	n/a	dot_stim_validtrials
219.79	0.583	n/a	dot_stim_validtrials
227.82	0.55	n/a	dot_stim_validtrials
237.8	0.683	n/a	dot_stim_validtrials
255.62	0.65	n/a	dot_stim_validtrials
263.4	0.766	n/a	dot_stim_validtrials
272.93	0.767	n/a	dot_stim_validtrials
281.72	0.55	n/a	dot_stim_validtrials
291.2	0.784	n/a	dot_stim_validtrials
302.48	0.567	n/a	dot_stim_validtrials
312.01	0.884	n/a	dot_stim_validtrials
319.85	0.683	n/a	dot_stim_validtrials
327.73	0.65	n/a	dot_stim_validtrials
337.36	0.65	n/a	dot_stim_validtrials
346.64	1.066	n/a	dot_stim_validtrials
354.43	0.95	n/a	dot_stim_validtrials
363.81	0.983	n/a	dot_stim_validtrials
372.39	0.85	n/a	dot_stim_validtrials
389.76	1.05	n/a	dot_stim_validtrials
399.29	1.017	n/a	dot_stim_validtrials
407.62	0.933	n/a	dot_stim_validtrials
415.41	1.016	n/a	dot_stim_validtrials
424.44	0.9	n/a	dot_stim_validtrials
434.22	0.883	n/a	dot_stim_validtrials
443	0.884	n/a	dot_stim_validtrials
453.54	0.767	n/a	dot_stim_validtrials
461.92	1.2	n/a	dot_stim_validtrials
469.7	0.9	n/a	dot_stim_validtrials
477.48	0.767	n/a	dot_stim_validtrials
486.77	1.117	n/a	dot_stim_validtrials
526.01	1.283	n/a	dot_stim_validtrials
535.55	0.933	n/a	dot_stim_validtrials
544.78	0.917	n/a	dot_stim_validtrials
554.06	0.616	n/a	dot_stim_validtrials
563.84	0.734	n/a	dot_stim_validtrials
572.23	0.567	n/a	dot_stim_validtrials
580.01	0.534	n/a	dot_stim_validtrials
588.29	0.884	n/a	dot_stim_validtrials
597.57	1.066	n/a	dot_stim_validtrials
605.31	0.667	n/a	dot_stim_validtrials
612.59	0.617	n/a	dot_stim_validtrials
623.12	0.666	n/a	dot_stim_validtrials
633.65	0.75	n/a	dot_stim_validtrials
643.19	0.9	n/a	dot_stim_validtrials
653.47	0.65	n/a	dot_stim_validtrials
663.25	0.733	n/a	dot_stim_validtrials
671.78	0.65	n/a	dot_stim_validtrials
680.32	1.033	n/a	dot_stim_validtrials
690.35	1.067	n/a	dot_stim_validtrials
700.88	0.8	n/a	dot_stim_validtrials
712.16	0.667	n/a	dot_stim_validtrials
720.2	0.95	n/a	dot_stim_validtrials
728.78	0.8	n/a	dot_stim_validtrials
737.91	0.95	n/a	dot_stim_validtrials
745.69	0.966	n/a	dot_stim_validtrials
753.78	1.067	n/a	dot_stim_validtrials
763.06	0.75	n/a	dot_stim_validtrials
791.96	0.917	n/a	dot_stim_validtrials
800.99	1.017	n/a	dot_stim_validtrials
809.77	1.2	n/a	dot_stim_validtrials
819.3	1.15	n/a	dot_stim_validtrials
829.59	0.75	n/a	dot_stim_validtrials
838.62	0.967	n/a	dot_stim_validtrials
847.4	0.933	n/a	dot_stim_validtrials
857.68	1.45	n/a	dot_stim_validtrials
865.72	0.867	n/a	dot_stim_validtrials
873.5	0.85	n/a	dot_stim_validtrials
883.78	0.883	n/a	dot_stim_validtrials
893.07	0.933	n/a	dot_stim_validtrials
901.85	0.85	n/a	dot_stim_validtrials
909.48	0.883	n/a	dot_stim_validtrials
919.51	1.017	n/a	dot_stim_validtrials
929.05	1	n/a	dot_stim_validtrials
937.08	0.983	n/a	dot_stim_validtrials
946.86	1.2	n/a	dot_stim_validtrials
955.14	1.05	n/a	dot_stim_validtrials
963.68	0.85	n/a	dot_stim_validtrials
972.71	1.1	n/a	dot_stim_validtrials
982.24	1.051	n/a	dot_stim_validtrials
991.52	1.317	n/a	dot_stim_validtrials
999.56	0.683	n/a	dot_stim_validtrials
1009.3	1.134	n/a	dot_stim_validtrials
1018.9	1.05	n/a	dot_stim_validtrials
1058.4	1.15	n/a	dot_stim_validtrials
1067.2	0.75	n/a	dot_stim_validtrials
1075.9	1	n/a	dot_stim_validtrials
1085.5	0.95	n/a	dot_stim_validtrials
1095.2	0.916	n/a	dot_stim_validtrials
1105.5	1.034	n/a	dot_stim_validtrials
1114.3	0.833	n/a	dot_stim_validtrials
1124.6	0.95	n/a	dot_stim_validtrials
1135.6	0.733	n/a	dot_stim_validtrials
1145.2	1.017	n/a	dot_stim_validtrials
1155.4	1.083	n/a	dot_stim_validtrials
1166	1.133	n/a	dot_stim_validtrials
1177.5	1.001	n/a	dot_stim_validtrials
1186.3	1	n/a	dot_stim_validtrials
1195	1.133	n/a	dot_stim_validtrials
1206.1	0.95	n/a	dot_stim_validtrials
1216.4	1	n/a	dot_stim_validtrials
1226	0.767	n/a	dot_stim_validtrials
1237.5	1.25	n/a	dot_stim_validtrials
1246.3	0.95	n/a	dot_stim_validtrials
1256.9	0.983	n/a	dot_stim_validtrials
1266.6	0.766	n/a	dot_stim_validtrials
1276.4	1.05	n/a	dot_stim_validtrials
1284.6	1.067	n/a	dot_stim_validtrials
1294.4	0.983	n/a	dot_stim_validtrials
1303	1.133	n/a	dot_stim_validtrials
1314.5	0.75	n/a	dot_stim_validtrials
1340.4	0.967	n/a	dot_stim_validtrials
1348.2	0.767	n/a	dot_stim_validtrials
1356.3	0.617	n/a	dot_stim_validtrials
1364.8	0.583	n/a	dot_stim_validtrials
1372.4	0.917	n/a	dot_stim_validtrials
1383.2	1.033	n/a	dot_stim_validtrials
1391.1	0.716	n/a	dot_stim_validtrials
1398.9	0.884	n/a	dot_stim_validtrials
1410.5	1.05	n/a	dot_stim_validtrials
1419.5	0.934	n/a	dot_stim_validtrials
1437.1	0.767	n/a	dot_stim_validtrials
1445.8	1.067	n/a	dot_stim_validtrials
1454.6	0.866	n/a	dot_stim_validtrials
1463.6	1.1	n/a	dot_stim_validtrials
1474.4	1.383	n/a	dot_stim_validtrials
1483.9	1.117	n/a	dot_stim_validtrials
1494	0.95	n/a	dot_stim_validtrials
1511.8	0.8	n/a	dot_stim_validtrials
1520.6	0.667	n/a	dot_stim_validtrials
1530.9	0.867	n/a	dot_stim_validtrials
5.0238	n/a	n/a	dot_resp_validtrials
13.906	n/a	n/a	dot_resp_validtrials
23.439	n/a	n/a	dot_resp_validtrials
32.971	n/a	n/a	dot_resp_validtrials
41.521	n/a	n/a	dot_resp_validtrials
50.619	n/a	n/a	dot_resp_validtrials
60.636	n/a	n/a	dot_resp_validtrials
71.717	n/a	n/a	dot_resp_validtrials
80.201	n/a	n/a	dot_resp_validtrials
89.565	n/a	n/a	dot_resp_validtrials
100.08	n/a	n/a	dot_resp_validtrials
109.43	n/a	n/a	dot_resp_validtrials
118.8	n/a	n/a	dot_resp_validtrials
128.78	n/a	n/a	dot_resp_validtrials
137.05	n/a	n/a	dot_resp_validtrials
146.31	n/a	n/a	dot_resp_validtrials
154.34	n/a	n/a	dot_resp_validtrials
163.71	n/a	n/a	dot_resp_validtrials
173.23	n/a	n/a	dot_resp_validtrials
183.44	n/a	n/a	dot_resp_validtrials
192.02	n/a	n/a	dot_resp_validtrials
200.81	n/a	n/a	dot_resp_validtrials
210.14	n/a	n/a	dot_resp_validtrials
220.37	n/a	n/a	dot_resp_validtrials
228.37	n/a	n/a	dot_resp_validtrials
238.49	n/a	n/a	dot_resp_validtrials
256.27	n/a	n/a	dot_resp_validtrials
264.17	n/a	n/a	dot_resp_validtrials
273.7	n/a	n/a	dot_resp_validtrials
282.27	n/a	n/a	dot_resp_validtrials
291.98	n/a	n/a	dot_resp_validtrials
303.05	n/a	n/a	dot_resp_validtrials
312.9	n/a	n/a	dot_resp_validtrials
320.53	n/a	n/a	dot_resp_validtrials
328.38	n/a	n/a	dot_resp_validtrials
338.01	n/a	n/a	dot_resp_validtrials
347.71	n/a	n/a	dot_resp_validtrials
355.38	n/a	n/a	dot_resp_validtrials
364.79	n/a	n/a	dot_resp_validtrials
373.24	n/a	n/a	dot_resp_validtrials
390.81	n/a	n/a	dot_resp_validtrials
400.31	n/a	n/a	dot_resp_validtrials
408.56	n/a	n/a	dot_resp_validtrials
416.42	n/a	n/a	dot_resp_validtrials
425.34	n/a	n/a	dot_resp_validtrials
435.1	n/a	n/a	dot_resp_validtrials
443.89	n/a	n/a	dot_resp_validtrials
454.3	n/a	n/a	dot_resp_validtrials
463.12	n/a	n/a	dot_resp_validtrials
470.6	n/a	n/a	dot_resp_validtrials
