onset	duration	param_value	trial_type
5.239	1.15	n/a	dot_stim_validtrials
15.771	1	n/a	dot_stim_validtrials
24.804	1.016	n/a	dot_stim_validtrials
35.836	1.1	n/a	dot_stim_validtrials
44.869	1.05	n/a	dot_stim_validtrials
55.151	1	n/a	dot_stim_validtrials
73.717	1.167	n/a	dot_stim_validtrials
82.799	0.9	n/a	dot_stim_validtrials
91.832	1.384	n/a	dot_stim_validtrials
100.86	1.05	n/a	dot_stim_validtrials
111.15	1.467	n/a	dot_stim_validtrials
119.93	1.033	n/a	dot_stim_validtrials
130.71	1.284	n/a	dot_stim_validtrials
140.74	0.967	n/a	dot_stim_validtrials
151.78	1.35	n/a	dot_stim_validtrials
161.34	1.184	n/a	dot_stim_validtrials
169.88	1.116	n/a	dot_stim_validtrials
178.21	1.367	n/a	dot_stim_validtrials
187.84	1.067	n/a	dot_stim_validtrials
196.82	1.167	n/a	dot_stim_validtrials
207.11	1.233	n/a	dot_stim_validtrials
216.34	1.183	n/a	dot_stim_validtrials
225.12	1.167	n/a	dot_stim_validtrials
233.65	1.216	n/a	dot_stim_validtrials
243.04	1.3	n/a	dot_stim_validtrials
251.82	1.117	n/a	dot_stim_validtrials
260.6	1.251	n/a	dot_stim_validtrials
269.13	1.183	n/a	dot_stim_validtrials
280.67	1.301	n/a	dot_stim_validtrials
289.95	1.167	n/a	dot_stim_validtrials
299.73	1.25	n/a	dot_stim_validtrials
307.76	1.134	n/a	dot_stim_validtrials
317.3	1.383	n/a	dot_stim_validtrials
326.83	1.3	n/a	dot_stim_validtrials
335.11	1.05	n/a	dot_stim_validtrials
344.64	1.184	n/a	dot_stim_validtrials
353.68	1.083	n/a	dot_stim_validtrials
363.46	1.25	n/a	dot_stim_validtrials
372.59	1.134	n/a	dot_stim_validtrials
382.12	0.95	n/a	dot_stim_validtrials
390.16	0.85	n/a	dot_stim_validtrials
398.34	1.183	n/a	dot_stim_validtrials
408.12	0.901	n/a	dot_stim_validtrials
419.4	1.3	n/a	dot_stim_validtrials
428.94	0.767	n/a	dot_stim_validtrials
436.77	0.8	n/a	dot_stim_validtrials
445.8	1.166	n/a	dot_stim_validtrials
454.08	1.484	n/a	dot_stim_validtrials
464.12	1.033	n/a	dot_stim_validtrials
473.9	1.317	n/a	dot_stim_validtrials
483.68	1.283	n/a	dot_stim_validtrials
492.96	1.217	n/a	dot_stim_validtrials
501.75	1.483	n/a	dot_stim_validtrials
