onset	duration	param_value	trial_type
3.9936	1.183	n/a	dot_stim_validtrials
14.043	1.267	n/a	dot_stim_validtrials
22.375	1.133	n/a	dot_stim_validtrials
41.241	1.233	n/a	dot_stim_validtrials
49.623	1.434	n/a	dot_stim_validtrials
59.756	1.183	n/a	dot_stim_validtrials
68.038	1.134	n/a	dot_stim_validtrials
76.621	1.35	n/a	dot_stim_validtrials
87.653	1.084	n/a	dot_stim_validtrials
96.436	1.017	n/a	dot_stim_validtrials
105.07	0.95	n/a	dot_stim_validtrials
114.85	1.384	n/a	dot_stim_validtrials
125.13	1.35	n/a	dot_stim_validtrials
134.42	1.167	n/a	dot_stim_validtrials
146.45	0.9	n/a	dot_stim_validtrials
154.76	0.85	n/a	dot_stim_validtrials
164.9	0.867	n/a	dot_stim_validtrials
172.68	0.766	n/a	dot_stim_validtrials
182.46	1.017	n/a	dot_stim_validtrials
193.74	1.133	n/a	dot_stim_validtrials
203.63	0.767	n/a	dot_stim_validtrials
213.91	0.933	n/a	dot_stim_validtrials
223.19	1.167	n/a	dot_stim_validtrials
232.52	1.2	n/a	dot_stim_validtrials
241.81	1.05	n/a	dot_stim_validtrials
250.79	1.183	n/a	dot_stim_validtrials
259.37	1.117	n/a	dot_stim_validtrials
271.15	1.2	n/a	dot_stim_validtrials
280.19	0.967	n/a	dot_stim_validtrials
290.47	1.117	n/a	dot_stim_validtrials
300.25	0.85	n/a	dot_stim_validtrials
309.28	0.917	n/a	dot_stim_validtrials
319.07	1.084	n/a	dot_stim_validtrials
327.95	0.983	n/a	dot_stim_validtrials
337.23	1.2	n/a	dot_stim_validtrials
345.51	1.05	n/a	dot_stim_validtrials
354.8	1.166	n/a	dot_stim_validtrials
363.78	0.934	n/a	dot_stim_validtrials
373.31	1.233	n/a	dot_stim_validtrials
383.6	0.934	n/a	dot_stim_validtrials
392.38	1.217	n/a	dot_stim_validtrials
401.91	1.317	n/a	dot_stim_validtrials
410.69	1.167	n/a	dot_stim_validtrials
418.98	1.066	n/a	dot_stim_validtrials
427.76	1.167	n/a	dot_stim_validtrials
437.04	1.017	n/a	dot_stim_validtrials
445.32	1.35	n/a	dot_stim_validtrials
453.61	1.117	n/a	dot_stim_validtrials
461.89	1.166	n/a	dot_stim_validtrials
471.22	1	n/a	dot_stim_validtrials
480	1.133	n/a	dot_stim_validtrials
488.29	1.134	n/a	dot_stim_validtrials
497.32	0.967	n/a	dot_stim_validtrials
536.37	1.217	n/a	dot_stim_validtrials
544.15	1.35	n/a	dot_stim_validtrials
552.43	0.967	n/a	dot_stim_validtrials
562.46	0.866	n/a	dot_stim_validtrials
570.5	1	n/a	dot_stim_validtrials
578.53	1.083	n/a	dot_stim_validtrials
587.06	1.1	n/a	dot_stim_validtrials
596.04	1.317	n/a	dot_stim_validtrials
605.33	1.116	n/a	dot_stim_validtrials
614.86	1.2	n/a	dot_stim_validtrials
624.64	1.4	n/a	dot_stim_validtrials
634.42	1.05	n/a	dot_stim_validtrials
642.96	0.817	n/a	dot_stim_validtrials
653.74	1.25	n/a	dot_stim_validtrials
663.27	1.033	n/a	dot_stim_validtrials
672.8	1.2	n/a	dot_stim_validtrials
680.69	1.083	n/a	dot_stim_validtrials
691.72	1.1	n/a	dot_stim_validtrials
702.25	1.183	n/a	dot_stim_validtrials
720.57	1.385	n/a	dot_stim_validtrials
730.35	1.067	n/a	dot_stim_validtrials
740.63	1.15	n/a	dot_stim_validtrials
749.01	1	n/a	dot_stim_validtrials
758.55	0.967	n/a	dot_stim_validtrials
766.58	1.05	n/a	dot_stim_validtrials
777.36	1.084	n/a	dot_stim_validtrials
788.14	0.966	n/a	dot_stim_validtrials
795.93	1.017	n/a	dot_stim_validtrials
804.31	1.117	n/a	dot_stim_validtrials
812.84	1.1	n/a	dot_stim_validtrials
822.37	1.133	n/a	dot_stim_validtrials
831.16	1.266	n/a	dot_stim_validtrials
841.44	0.9	n/a	dot_stim_validtrials
848.92	0.967	n/a	dot_stim_validtrials
858.96	1.217	n/a	dot_stim_validtrials
870.24	1.3	n/a	dot_stim_validtrials
879.37	0.984	n/a	dot_stim_validtrials
889	1.15	n/a	dot_stim_validtrials
897.79	1.35	n/a	dot_stim_validtrials
906.07	1.25	n/a	dot_stim_validtrials
914.6	1.45	n/a	dot_stim_validtrials
926.13	1.267	n/a	dot_stim_validtrials
934.67	1.05	n/a	dot_stim_validtrials
944.45	1.184	n/a	dot_stim_validtrials
952.68	1.183	n/a	dot_stim_validtrials
960.96	1.084	n/a	dot_stim_validtrials
969.2	1.133	n/a	dot_stim_validtrials
977.43	1.116	n/a	dot_stim_validtrials
986.71	1.25	n/a	dot_stim_validtrials
995.84	1.233	n/a	dot_stim_validtrials
1004.1	1.15	n/a	dot_stim_validtrials
1013.2	1.116	n/a	dot_stim_validtrials
1021.4	1.417	n/a	dot_stim_validtrials
1030.7	1.317	n/a	dot_stim_validtrials
1070.2	1.083	n/a	dot_stim_validtrials
1078.5	1.167	n/a	dot_stim_validtrials
1086.6	1.05	n/a	dot_stim_validtrials
1096	0.984	n/a	dot_stim_validtrials
1105.8	1.383	n/a	dot_stim_validtrials
1113.9	1.116	n/a	dot_stim_validtrials
1121.4	1.234	n/a	dot_stim_validtrials
1130	1.233	n/a	dot_stim_validtrials
1139.5	1.184	n/a	dot_stim_validtrials
1150.6	1	n/a	dot_stim_validtrials
1161.9	1.284	n/a	dot_stim_validtrials
1171.6	0.95	n/a	dot_stim_validtrials
1180.7	0.884	n/a	dot_stim_validtrials
1188.7	1.083	n/a	dot_stim_validtrials
1198.4	1.317	n/a	dot_stim_validtrials
1206.5	0.901	n/a	dot_stim_validtrials
1214.3	1.234	n/a	dot_stim_validtrials
1224.1	1.033	n/a	dot_stim_validtrials
1234.6	1.233	n/a	dot_stim_validtrials
1243.4	1	n/a	dot_stim_validtrials
1252.4	1.167	n/a	dot_stim_validtrials
1262.2	1.15	n/a	dot_stim_validtrials
1271	1.084	n/a	dot_stim_validtrials
1282	0.917	n/a	dot_stim_validtrials
1290.5	1.15	n/a	dot_stim_validtrials
1299.3	1.283	n/a	dot_stim_validtrials
1307.2	1.05	n/a	dot_stim_validtrials
1315.5	1.067	n/a	dot_stim_validtrials
1323.6	0.867	n/a	dot_stim_validtrials
1332.9	1.183	n/a	dot_stim_validtrials
1342.5	1.15	n/a	dot_stim_validtrials
1350.8	1.266	n/a	dot_stim_validtrials
1359.1	1.1	n/a	dot_stim_validtrials
1368.1	0.933	n/a	dot_stim_validtrials
1378.9	1.367	n/a	dot_stim_validtrials
1390.4	0.85	n/a	dot_stim_validtrials
1398.9	1	n/a	dot_stim_validtrials
1409.5	1.233	n/a	dot_stim_validtrials
1420.8	1.35	n/a	dot_stim_validtrials
1430.5	0.866	n/a	dot_stim_validtrials
1438.9	1.167	n/a	dot_stim_validtrials
1449	1.117	n/a	dot_stim_validtrials
1458.7	1.134	n/a	dot_stim_validtrials
1469.2	0.866	n/a	dot_stim_validtrials
1477.4	1.017	n/a	dot_stim_validtrials
1486.4	1.05	n/a	dot_stim_validtrials
1496.7	0.867	n/a	dot_stim_validtrials
1505.8	1.317	n/a	dot_stim_validtrials
1513.3	0.833	n/a	dot_stim_validtrials
1521.3	1.134	n/a	dot_stim_validtrials
1532	1.067	n/a	dot_stim_validtrials
5.1766	n/a	n/a	dot_resp_validtrials
15.31	n/a	n/a	dot_resp_validtrials
23.508	n/a	n/a	dot_resp_validtrials
42.474	n/a	n/a	dot_resp_validtrials
51.057	n/a	n/a	dot_resp_validtrials
60.939	n/a	n/a	dot_resp_validtrials
69.172	n/a	n/a	dot_resp_validtrials
77.971	n/a	n/a	dot_resp_validtrials
88.737	n/a	n/a	dot_resp_validtrials
97.453	n/a	n/a	dot_resp_validtrials
106.02	n/a	n/a	dot_resp_validtrials
116.23	n/a	n/a	dot_resp_validtrials
126.48	n/a	n/a	dot_resp_validtrials
135.58	n/a	n/a	dot_resp_validtrials
147.35	n/a	n/a	dot_resp_validtrials
155.61	n/a	n/a	dot_resp_validtrials
165.76	n/a	n/a	dot_resp_validtrials
173.45	n/a	n/a	dot_resp_validtrials
183.48	n/a	n/a	dot_resp_validtrials
194.88	n/a	n/a	dot_resp_validtrials
204.39	n/a	n/a	dot_resp_validtrials
214.84	n/a	n/a	dot_resp_validtrials
224.36	n/a	n/a	dot_resp_validtrials
233.72	n/a	n/a	dot_resp_validtrials
242.86	n/a	n/a	dot_resp_validtrials
251.97	n/a	n/a	dot_resp_validtrials
260.49	n/a	n/a	dot_resp_validtrials
272.35	n/a	n/a	dot_resp_validtrials
281.15	n/a	n/a	dot_resp_validtrials
291.59	n/a	n/a	dot_resp_validtrials
301.1	n/a	n/a	dot_resp_validtrials
310.2	n/a	n/a	dot_resp_validtrials
320.15	n/a	n/a	dot_resp_validtrials
328.93	n/a	n/a	dot_resp_validtrials
338.43	n/a	n/a	dot_resp_validtrials
346.56	n/a	n/a	dot_resp_validtrials
355.96	n/a	n/a	dot_resp_validtrials
364.71	n/a	n/a	dot_resp_validtrials
374.55	n/a	n/a	dot_resp_validtrials
384.53	n/a	n/a	dot_resp_validtrials
393.59	n/a	n/a	dot_resp_validtrials
403.23	n/a	n/a	dot_resp_validtrials
411.86	n/a	n/a	dot_resp_validtrials
420.04	n/a	n/a	dot_resp_validtrials
428.92	n/a	n/a	dot_resp_validtrials
438.06	n/a	n/a	dot_resp_validtrials
446.67	n/a	n/a	dot_resp_validtrials
454.72	n/a	n/a	dot_resp_validtrials
463.05	n/a	n/a	dot_resp_validtrials
472.22	n/a	n/a	dot_resp_validtrials
481.14	n/a	n/a	dot_resp_validtrials
489.42	n/a	n/a	dot_resp_validtrials
498.29	n/a	n/a	dot_resp_validtrials
537.58	n/a	n/a	dot_resp_validtrials
545.5	n/a	n/a	dot_resp_validtrials
553.4	n/a	n/a	dot_resp_validtrials
563.33	n/a	n/a	dot_resp_validtrials
571.5	n/a	n/a	dot_resp_validtrials
579.61	n/a	n/a	dot_resp_validtrials
588.16	n/a	n/a	dot_resp_validtrials
597.36	n/a	n/a	dot_resp_validtrials
606.44	n/a	n/a	dot_resp_validtrials
616.06	n/a	n/a	dot_resp_validtrials
626.04	n/a	n/a	dot_resp_validtrials
635.47	n/a	n/a	dot_resp_validtrials
643.77	n/a	n/a	dot_resp_validtrials
654.99	n/a	n/a	dot_resp_validtrials
664.3	n/a	n/a	dot_resp_validtrials
674	n/a	n/a	dot_resp_validtrials
681.77	n/a	n/a	dot_resp_validtrials
692.82	n/a	n/a	dot_resp_validtrials
703.43	n/a	n/a	dot_resp_validtrials
721.95	n/a	n/a	dot_resp_validtrials
731.42	n/a	n/a	dot_resp_validtrials
741.78	n/a	n/a	dot_resp_validtrials
750.01	n/a	n/a	dot_resp_validtrials
759.51	n/a	n/a	dot_resp_validtrials
767.63	n/a	n/a	dot_resp_validtrials
778.45	n/a	n/a	dot_resp_validtrials
789.11	n/a	n/a	dot_resp_validtrials
796.94	n/a	n/a	dot_resp_validtrials
805.43	n/a	n/a	dot_resp_validtrials
813.94	n/a	n/a	dot_resp_validtrials
823.51	n/a	n/a	dot_resp_validtrials
832.42	n/a	n/a	dot_resp_validtrials
842.34	n/a	n/a	dot_resp_validtrials
849.89	n/a	n/a	dot_resp_validtrials
860.17	n/a	n/a	dot_resp_validtrials
871.54	n/a	n/a	dot_resp_validtrials
880.35	n/a	n/a	dot_resp_validtrials
890.15	n/a	n/a	dot_resp_validtrials
899.14	n/a	n/a	dot_resp_validtrials
907.32	n/a	n/a	dot_resp_validtrials
916.05	n/a	n/a	dot_resp_validtrials
927.4	n/a	n/a	dot_resp_validtrials
935.72	n/a	n/a	dot_resp_validtrials
945.63	n/a	n/a	dot_resp_validtrials
953.86	n/a	n/a	dot_resp_validtrials
962.05	n/a	n/a	dot_resp_validtrials
970.33	n/a	n/a	dot_resp_validtrials
978.54	n/a	n/a	dot_resp_validtrials
987.96	n/a	n/a	dot_resp_validtrials
997.08	n/a	n/a	dot_resp_validtrials
1005.3	n/a	n/a	dot_resp_validtrials
1014.3	n/a	n/a	dot_resp_validtrials
1022.8	n/a	n/a	dot_resp_validtrials
1032	n/a	n/a	dot_resp_validtrials
1071.3	n/a	n/a	dot_resp_validtrials
1079.7	n/a	n/a	dot_resp_validtrials
1087.6	n/a	n/a	dot_resp_validtrials
1097	n/a	n/a	dot_resp_validtrials
1107.2	n/a	n/a	dot_resp_validtrials
1115	n/a	n/a	dot_resp_validtrials
1122.6	n/a	n/a	dot_resp_validtrials
1131.2	n/a	n/a	dot_resp_validtrials
1140.7	n/a	n/a	dot_resp_validtrials
1151.6	n/a	n/a	dot_resp_validtrials
1163.1	n/a	n/a	dot_resp_validtrials
1172.6	n/a	n/a	dot_resp_validtrials
1181.6	n/a	n/a	dot_resp_validtrials
1189.7	n/a	n/a	dot_resp_validtrials
1199.8	n/a	n/a	dot_resp_validtrials
1207.4	n/a	n/a	dot_resp_validtrials
1215.5	n/a	n/a	dot_resp_validtrials
1225.1	n/a	n/a	dot_resp_validtrials
1235.8	n/a	n/a	dot_resp_validtrials
1244.4	n/a	n/a	dot_resp_validtrials
1253.6	n/a	n/a	dot_resp_validtrials
1263.4	n/a	n/a	dot_resp_validtrials
1272.1	n/a	n/a	dot_resp_validtrials
1282.9	n/a	n/a	dot_resp_validtrials
1291.7	n/a	n/a	dot_resp_validtrials
1300.6	n/a	n/a	dot_resp_validtrials
1308.2	n/a	n/a	dot_resp_validtrials
1316.6	n/a	n/a	dot_resp_validtrials
1324.5	n/a	n/a	dot_resp_validtrials
1334.1	n/a	n/a	dot_resp_validtrials
1343.7	n/a	n/a	dot_resp_validtrials
1352	n/a	n/a	dot_resp_validtrials
1360.2	n/a	n/a	dot_resp_validtrials
1369	n/a	n/a	dot_resp_validtrials
1380.2	n/a	n/a	dot_resp_validtrials
1391.3	n/a	n/a	dot_resp_validtrials
1399.9	n/a	n/a	dot_resp_validtrials
1410.7	n/a	n/a	dot_resp_validtrials
1422.1	n/a	n/a	dot_resp_validtrials
1431.4	n/a	n/a	dot_resp_validtrials
1440.1	n/a	n/a	dot_resp_validtrials
1450.1	n/a	n/a	dot_resp_validtrials
1459.8	n/a	n/a	dot_resp_validtrials
1470.1	n/a	n/a	dot_resp_validtrials
1478.4	n/a	n/a	dot_resp_validtrials
1487.5	n/a	n/a	dot_resp_validtrials
1497.6	n/a	n/a	dot_resp_validtrials
