onset	duration	param_value	trial_type
4.4822	0.883	n/a	dot_stim_validtrials
12.581	1.2	n/a	dot_stim_validtrials
20.314	1.299	n/a	dot_stim_validtrials
29.347	1.084	n/a	dot_stim_validtrials
37.829	1.017	n/a	dot_stim_validtrials
45.862	1.017	n/a	dot_stim_validtrials
67.677	1.034	n/a	dot_stim_validtrials
76.459	1.033	n/a	dot_stim_validtrials
85.342	0.934	n/a	dot_stim_validtrials
93.375	1.15	n/a	dot_stim_validtrials
101.61	0.983	n/a	dot_stim_validtrials
110.14	1.384	n/a	dot_stim_validtrials
121.17	1.1	n/a	dot_stim_validtrials
128.96	1.217	n/a	dot_stim_validtrials
138.09	1.117	n/a	dot_stim_validtrials
147.17	1.3	n/a	dot_stim_validtrials
154.94	1.2	n/a	dot_stim_validtrials
164.22	1.334	n/a	dot_stim_validtrials
173.75	1.15	n/a	dot_stim_validtrials
191.82	1.3	n/a	dot_stim_validtrials
201.15	1.25	n/a	dot_stim_validtrials
209.93	1.183	n/a	dot_stim_validtrials
217.96	1.166	n/a	dot_stim_validtrials
226	1.267	n/a	dot_stim_validtrials
235.83	1.15	n/a	dot_stim_validtrials
244.21	1.101	n/a	dot_stim_validtrials
254.74	1.267	n/a	dot_stim_validtrials
266.03	0.984	n/a	dot_stim_validtrials
275.16	1.133	n/a	dot_stim_validtrials
284.44	1.2	n/a	dot_stim_validtrials
292.92	1.35	n/a	dot_stim_validtrials
302.71	1.066	n/a	dot_stim_validtrials
320.12	0.967	n/a	dot_stim_validtrials
328.4	1.117	n/a	dot_stim_validtrials
337.94	1.15	n/a	dot_stim_validtrials
348.47	1.117	n/a	dot_stim_validtrials
356.2	1.033	n/a	dot_stim_validtrials
364.39	1.383	n/a	dot_stim_validtrials
373.42	0.984	n/a	dot_stim_validtrials
384.45	1.033	n/a	dot_stim_validtrials
394.23	1.134	n/a	dot_stim_validtrials
402.52	1.133	n/a	dot_stim_validtrials
412.8	1.05	n/a	dot_stim_validtrials
421.83	1.15	n/a	dot_stim_validtrials
430.21	0.917	n/a	dot_stim_validtrials
438.5	1.117	n/a	dot_stim_validtrials
446.28	1.067	n/a	dot_stim_validtrials
454.66	1.184	n/a	dot_stim_validtrials
462.54	1.167	n/a	dot_stim_validtrials
472.08	1.3	n/a	dot_stim_validtrials
520.41	0.9	n/a	dot_stim_validtrials
527.69	1.2	n/a	dot_stim_validtrials
537.72	1.034	n/a	dot_stim_validtrials
546	1.317	n/a	dot_stim_validtrials
555.79	1.167	n/a	dot_stim_validtrials
565.42	1.3	n/a	dot_stim_validtrials
574.7	1.3	n/a	dot_stim_validtrials
584.48	1.2	n/a	dot_stim_validtrials
594.02	1.051	n/a	dot_stim_validtrials
602	1.267	n/a	dot_stim_validtrials
610.58	1.133	n/a	dot_stim_validtrials
620.11	1	n/a	dot_stim_validtrials
629.45	1.2	n/a	dot_stim_validtrials
654.24	1.067	n/a	dot_stim_validtrials
663.03	1.25	n/a	dot_stim_validtrials
673.31	1.283	n/a	dot_stim_validtrials
682.59	1.067	n/a	dot_stim_validtrials
694.12	1.233	n/a	dot_stim_validtrials
712.49	1.033	n/a	dot_stim_validtrials
722.52	1.167	n/a	dot_stim_validtrials
730.3	1.217	n/a	dot_stim_validtrials
740.34	1.233	n/a	dot_stim_validtrials
751.12	0.95	n/a	dot_stim_validtrials
759.35	1.266	n/a	dot_stim_validtrials
769.13	1.05	n/a	dot_stim_validtrials
778.42	1.15	n/a	dot_stim_validtrials
787.5	1.15	n/a	dot_stim_validtrials
806.32	1.25	n/a	dot_stim_validtrials
815.6	1.3	n/a	dot_stim_validtrials
823.23	1.233	n/a	dot_stim_validtrials
832.21	1.434	n/a	dot_stim_validtrials
851.58	0.934	n/a	dot_stim_validtrials
862.61	1.266	n/a	dot_stim_validtrials
881.13	1.1	n/a	dot_stim_validtrials
891.16	1.167	n/a	dot_stim_validtrials
899.69	1.183	n/a	dot_stim_validtrials
910.22	1.15	n/a	dot_stim_validtrials
920.01	1.133	n/a	dot_stim_validtrials
928.89	1.2	n/a	dot_stim_validtrials
940.17	1.317	n/a	dot_stim_validtrials
949.7	1.1	n/a	dot_stim_validtrials
959.49	1.317	n/a	dot_stim_validtrials
968.02	1.284	n/a	dot_stim_validtrials
976.05	1.334	n/a	dot_stim_validtrials
985.08	1.3	n/a	dot_stim_validtrials
994.87	1.134	n/a	dot_stim_validtrials
1004.9	1.4	n/a	dot_stim_validtrials
1016.7	1.15	n/a	dot_stim_validtrials
1025.7	1	n/a	dot_stim_validtrials
1065.9	0.85	n/a	dot_stim_validtrials
1083.4	0.817	n/a	dot_stim_validtrials
1092.5	1.117	n/a	dot_stim_validtrials
1100.9	1.2	n/a	dot_stim_validtrials
1109.7	1.1	n/a	dot_stim_validtrials
1118.5	0.933	n/a	dot_stim_validtrials
1128.5	1	n/a	dot_stim_validtrials
1139.1	1.35	n/a	dot_stim_validtrials
1148.6	1.034	n/a	dot_stim_validtrials
1157.3	1.133	n/a	dot_stim_validtrials
1167.1	0.951	n/a	dot_stim_validtrials
1175.4	1.433	n/a	dot_stim_validtrials
1184.9	1.05	n/a	dot_stim_validtrials
1194.5	1.067	n/a	dot_stim_validtrials
1205.2	0.933	n/a	dot_stim_validtrials
1214.7	1.15	n/a	dot_stim_validtrials
1231.7	1.117	n/a	dot_stim_validtrials
1241.6	1.15	n/a	dot_stim_validtrials
1259.9	1.2	n/a	dot_stim_validtrials
1270.2	1.25	n/a	dot_stim_validtrials
1279.2	1.284	n/a	dot_stim_validtrials
1287	1.15	n/a	dot_stim_validtrials
1297.5	1.284	n/a	dot_stim_validtrials
1307	1.05	n/a	dot_stim_validtrials
1314.8	1.233	n/a	dot_stim_validtrials
1323.1	1.2	n/a	dot_stim_validtrials
1334.1	1.267	n/a	dot_stim_validtrials
1344.4	1.3	n/a	dot_stim_validtrials
1362.2	1.034	n/a	dot_stim_validtrials
1369.7	1.15	n/a	dot_stim_validtrials
1379.5	1.3	n/a	dot_stim_validtrials
1389.5	1.15	n/a	dot_stim_validtrials
1398.8	1.3	n/a	dot_stim_validtrials
1410	1.333	n/a	dot_stim_validtrials
1418.8	1.083	n/a	dot_stim_validtrials
1437.9	1.2	n/a	dot_stim_validtrials
1446.3	1.284	n/a	dot_stim_validtrials
1456.1	1.15	n/a	dot_stim_validtrials
1465.6	1.15	n/a	dot_stim_validtrials
1476.6	1.183	n/a	dot_stim_validtrials
1486.5	1.267	n/a	dot_stim_validtrials
1496.8	1.433	n/a	dot_stim_validtrials
1513.6	1.133	n/a	dot_stim_validtrials
1522.4	1.25	n/a	dot_stim_validtrials
5.3652	n/a	n/a	dot_resp_validtrials
13.781	n/a	n/a	dot_resp_validtrials
21.613	n/a	n/a	dot_resp_validtrials
30.431	n/a	n/a	dot_resp_validtrials
38.846	n/a	n/a	dot_resp_validtrials
46.879	n/a	n/a	dot_resp_validtrials
68.711	n/a	n/a	dot_resp_validtrials
77.492	n/a	n/a	dot_resp_validtrials
86.276	n/a	n/a	dot_resp_validtrials
94.525	n/a	n/a	dot_resp_validtrials
102.59	n/a	n/a	dot_resp_validtrials
