onset	duration	param_value	trial_type
4.5072	0.866	n/a	dot_stim_validtrials
12.54	0.767	n/a	dot_stim_validtrials
21.672	0.983	n/a	dot_stim_validtrials
32.205	1.05	n/a	dot_stim_validtrials
42.987	0.966	n/a	dot_stim_validtrials
52.27	0.984	n/a	dot_stim_validtrials
60.403	1.117	n/a	dot_stim_validtrials
68.935	0.866	n/a	dot_stim_validtrials
79.718	1.033	n/a	dot_stim_validtrials
88	1.1	n/a	dot_stim_validtrials
105.12	0.883	n/a	dot_stim_validtrials
114.65	1.1	n/a	dot_stim_validtrials
123.98	1.05	n/a	dot_stim_validtrials
132.01	1.133	n/a	dot_stim_validtrials
143.3	1.25	n/a	dot_stim_validtrials
153.11	1.466	n/a	dot_stim_validtrials
162.84	1.084	n/a	dot_stim_validtrials
171.38	0.85	n/a	dot_stim_validtrials
182.66	1.017	n/a	dot_stim_validtrials
190.99	0.933	n/a	dot_stim_validtrials
200.27	0.951	n/a	dot_stim_validtrials
209.06	0.95	n/a	dot_stim_validtrials
217.34	1.133	n/a	dot_stim_validtrials
228.12	0.817	n/a	dot_stim_validtrials
238.15	1.116	n/a	dot_stim_validtrials
246.69	1	n/a	dot_stim_validtrials
255.07	1.1	n/a	dot_stim_validtrials
263.35	1.25	n/a	dot_stim_validtrials
272.13	1.134	n/a	dot_stim_validtrials
281.42	1.2	n/a	dot_stim_validtrials
290.55	1.017	n/a	dot_stim_validtrials
299.28	1.067	n/a	dot_stim_validtrials
310.56	0.917	n/a	dot_stim_validtrials
320.85	0.783	n/a	dot_stim_validtrials
329.38	0.934	n/a	dot_stim_validtrials
337.26	1.033	n/a	dot_stim_validtrials
344.75	0.983	n/a	dot_stim_validtrials
354.53	0.85	n/a	dot_stim_validtrials
364.26	0.966	n/a	dot_stim_validtrials
372.79	0.9	n/a	dot_stim_validtrials
380.28	0.984	n/a	dot_stim_validtrials
388.11	0.983	n/a	dot_stim_validtrials
396.64	0.8	n/a	dot_stim_validtrials
406.12	0.8	n/a	dot_stim_validtrials
415.11	0.967	n/a	dot_stim_validtrials
425.39	0.817	n/a	dot_stim_validtrials
433.87	0.983	n/a	dot_stim_validtrials
443.65	0.95	n/a	dot_stim_validtrials
452.19	0.883	n/a	dot_stim_validtrials
462.22	0.834	n/a	dot_stim_validtrials
472.25	0.883	n/a	dot_stim_validtrials
482.78	1.084	n/a	dot_stim_validtrials
490.92	1.033	n/a	dot_stim_validtrials
530.21	1.5	n/a	dot_stim_validtrials
538.75	0.967	n/a	dot_stim_validtrials
547.33	1.283	n/a	dot_stim_validtrials
555.86	1.367	n/a	dot_stim_validtrials
563.89	1	n/a	dot_stim_validtrials
584.46	0.8	n/a	dot_stim_validtrials
594.49	1.034	n/a	dot_stim_validtrials
605.77	0.783	n/a	dot_stim_validtrials
613.81	0.933	n/a	dot_stim_validtrials
