onset	duration	param_value	trial_type
4.5114	0.767	n/a	dot_stim_validtrials
13.794	0.584	n/a	dot_stim_validtrials
21.827	0.483	n/a	dot_stim_validtrials
31.109	0.7	n/a	dot_stim_validtrials
42.142	0.533	n/a	dot_stim_validtrials
51.424	0.533	n/a	dot_stim_validtrials
61.557	0.75	n/a	dot_stim_validtrials
70.089	0.483	n/a	dot_stim_validtrials
78.872	0.5	n/a	dot_stim_validtrials
87.404	0.717	n/a	dot_stim_validtrials
95.687	0.634	n/a	dot_stim_validtrials
104.72	0.7	n/a	dot_stim_validtrials
113.25	0.55	n/a	dot_stim_validtrials
121.63	0.484	n/a	dot_stim_validtrials
132.17	0.483	n/a	dot_stim_validtrials
140.75	0.617	n/a	dot_stim_validtrials
151.03	0.883	n/a	dot_stim_validtrials
161.6	0.584	n/a	dot_stim_validtrials
170.58	0.484	n/a	dot_stim_validtrials
179.86	0.683	n/a	dot_stim_validtrials
189.9	0.517	n/a	dot_stim_validtrials
199.93	0.683	n/a	dot_stim_validtrials
207.96	0.55	n/a	dot_stim_validtrials
219.24	0.8	n/a	dot_stim_validtrials
227.38	0.667	n/a	dot_stim_validtrials
235.91	0.567	n/a	dot_stim_validtrials
244.69	0.901	n/a	dot_stim_validtrials
255.47	0.817	n/a	dot_stim_validtrials
264.26	0.584	n/a	dot_stim_validtrials
273.54	0.817	n/a	dot_stim_validtrials
282.07	0.666	n/a	dot_stim_validtrials
290.9	0.767	n/a	dot_stim_validtrials
298.89	0.55	n/a	dot_stim_validtrials
308.42	0.701	n/a	dot_stim_validtrials
318.95	0.7	n/a	dot_stim_validtrials
327.23	0.65	n/a	dot_stim_validtrials
336.77	0.5	n/a	dot_stim_validtrials
345.55	0.933	n/a	dot_stim_validtrials
355.28	0.767	n/a	dot_stim_validtrials
364.06	0.633	n/a	dot_stim_validtrials
373.6	0.7	n/a	dot_stim_validtrials
382.38	0.517	n/a	dot_stim_validtrials
