onset	duration	param_value	trial_type
4.0834	0.9	n/a	dot_stim_validtrials
13.882	0.917	n/a	dot_stim_validtrials
22.415	0.833	n/a	dot_stim_validtrials
32.298	0.884	n/a	dot_stim_validtrials
40.63	1.033	n/a	dot_stim_validtrials
60.195	0.9	n/a	dot_stim_validtrials
68.278	1.033	n/a	dot_stim_validtrials
78.56	0.984	n/a	dot_stim_validtrials
88.343	1.25	n/a	dot_stim_validtrials
99.625	0.883	n/a	dot_stim_validtrials
108.66	0.951	n/a	dot_stim_validtrials
118.19	0.95	n/a	dot_stim_validtrials
135.26	0.934	n/a	dot_stim_validtrials
146.29	1.416	n/a	dot_stim_validtrials
155.35	0.95	n/a	dot_stim_validtrials
162.89	0.684	n/a	dot_stim_validtrials
170.92	1.217	n/a	dot_stim_validtrials
180.45	0.934	n/a	dot_stim_validtrials
189.48	1.017	n/a	dot_stim_validtrials
200.77	0.817	n/a	dot_stim_validtrials
210.05	0.95	n/a	dot_stim_validtrials
217.53	1.066	n/a	dot_stim_validtrials
227.01	1.35	n/a	dot_stim_validtrials
235.9	0.983	n/a	dot_stim_validtrials
243.53	1.216	n/a	dot_stim_validtrials
252.81	0.734	n/a	dot_stim_validtrials
270.88	1	n/a	dot_stim_validtrials
279.91	0.733	n/a	dot_stim_validtrials
288.24	0.801	n/a	dot_stim_validtrials
295.78	0.768	n/a	dot_stim_validtrials
306.31	1.3	n/a	dot_stim_validtrials
317.09	1.317	n/a	dot_stim_validtrials
339.16	0.866	n/a	dot_stim_validtrials
350.19	0.984	n/a	dot_stim_validtrials
360.47	1.083	n/a	dot_stim_validtrials
368.75	1.001	n/a	dot_stim_validtrials
379.54	0.783	n/a	dot_stim_validtrials
388.82	0.95	n/a	dot_stim_validtrials
398.85	1	n/a	dot_stim_validtrials
408.33	0.884	n/a	dot_stim_validtrials
416.37	0.817	n/a	dot_stim_validtrials
425.9	0.95	n/a	dot_stim_validtrials
434.93	0.667	n/a	dot_stim_validtrials
443.31	0.817	n/a	dot_stim_validtrials
452.6	0.917	n/a	dot_stim_validtrials
461.23	0.817	n/a	dot_stim_validtrials
469.11	1.05	n/a	dot_stim_validtrials
479.89	1.034	n/a	dot_stim_validtrials
487.38	1.05	n/a	dot_stim_validtrials
498.91	0.967	n/a	dot_stim_validtrials
537.11	0.8	n/a	dot_stim_validtrials
545.64	0.683	n/a	dot_stim_validtrials
554.17	0.667	n/a	dot_stim_validtrials
563.55	0.8	n/a	dot_stim_validtrials
572.09	0.951	n/a	dot_stim_validtrials
582.37	0.65	n/a	dot_stim_validtrials
590.15	0.633	n/a	dot_stim_validtrials
600.18	0.75	n/a	dot_stim_validtrials
608.22	0.817	n/a	dot_stim_validtrials
617	0.867	n/a	dot_stim_validtrials
626.78	0.8	n/a	dot_stim_validtrials
636.06	0.901	n/a	dot_stim_validtrials
644.11	1.166	n/a	dot_stim_validtrials
652.6	1.25	n/a	dot_stim_validtrials
661.63	0.85	n/a	dot_stim_validtrials
671.91	0.901	n/a	dot_stim_validtrials
680.94	1	n/a	dot_stim_validtrials
691.98	0.851	n/a	dot_stim_validtrials
701.51	1.267	n/a	dot_stim_validtrials
711.79	0.951	n/a	dot_stim_validtrials
721.57	1.033	n/a	dot_stim_validtrials
729.66	0.9	n/a	dot_stim_validtrials
739.94	0.967	n/a	dot_stim_validtrials
749.17	1.25	n/a	dot_stim_validtrials
758.45	0.667	n/a	dot_stim_validtrials
767.99	1.45	n/a	dot_stim_validtrials
776.52	1	n/a	dot_stim_validtrials
786.55	1.317	n/a	dot_stim_validtrials
794.83	0.883	n/a	dot_stim_validtrials
802.92	0.9	n/a	dot_stim_validtrials
813.95	1.033	n/a	dot_stim_validtrials
822.73	0.834	n/a	dot_stim_validtrials
830.01	0.917	n/a	dot_stim_validtrials
838.55	0.633	n/a	dot_stim_validtrials
847.38	0.984	n/a	dot_stim_validtrials
856.66	0.9	n/a	dot_stim_validtrials
867.44	1.15	n/a	dot_stim_validtrials
