onset	duration	param_value	trial_type
4.24	1.433	n/a	dot_stim_validtrials
13.572	1.451	n/a	dot_stim_validtrials
33.487	0.984	n/a	dot_stim_validtrials
43.47	1.033	n/a	dot_stim_validtrials
62.535	0.817	n/a	dot_stim_validtrials
70.368	1.083	n/a	dot_stim_validtrials
79.15	1.334	n/a	dot_stim_validtrials
89.433	1.116	n/a	dot_stim_validtrials
111.75	1.033	n/a	dot_stim_validtrials
119.78	1.334	n/a	dot_stim_validtrials
127.66	1	n/a	dot_stim_validtrials
136.2	0.967	n/a	dot_stim_validtrials
145.98	1.1	n/a	dot_stim_validtrials
157.01	1.067	n/a	dot_stim_validtrials
165.29	1.133	n/a	dot_stim_validtrials
175.11	1.15	n/a	dot_stim_validtrials
183.39	1.016	n/a	dot_stim_validtrials
193.42	1	n/a	dot_stim_validtrials
203.96	1.301	n/a	dot_stim_validtrials
212.34	1.1	n/a	dot_stim_validtrials
221.47	1.033	n/a	dot_stim_validtrials
229	1.117	n/a	dot_stim_validtrials
236.49	1.2	n/a	dot_stim_validtrials
245.77	1.05	n/a	dot_stim_validtrials
263.83	1.133	n/a	dot_stim_validtrials
274.12	0.834	n/a	dot_stim_validtrials
284.15	1.133	n/a	dot_stim_validtrials
293.18	1.167	n/a	dot_stim_validtrials
303.21	1.183	n/a	dot_stim_validtrials
311.6	1.417	n/a	dot_stim_validtrials
321.13	1.3	n/a	dot_stim_validtrials
329.91	1.266	n/a	dot_stim_validtrials
348.23	1.15	n/a	dot_stim_validtrials
357.76	1.184	n/a	dot_stim_validtrials
368.54	1.25	n/a	dot_stim_validtrials
378.08	0.967	n/a	dot_stim_validtrials
388.86	1.183	n/a	dot_stim_validtrials
397.64	1.067	n/a	dot_stim_validtrials
407.27	1.2	n/a	dot_stim_validtrials
415.91	1.084	n/a	dot_stim_validtrials
426.19	1.083	n/a	dot_stim_validtrials
435.72	1.35	n/a	dot_stim_validtrials
445	1.25	n/a	dot_stim_validtrials
454.79	0.951	n/a	dot_stim_validtrials
463.42	1.267	n/a	dot_stim_validtrials
473.2	1.033	n/a	dot_stim_validtrials
482.48	1.384	n/a	dot_stim_validtrials
491.77	1.416	n/a	dot_stim_validtrials
499.55	0.917	n/a	dot_stim_validtrials
538.6	1.167	n/a	dot_stim_validtrials
558.41	1.383	n/a	dot_stim_validtrials
566.39	1.316	n/a	dot_stim_validtrials
577.68	1.167	n/a	dot_stim_validtrials
586.26	1.167	n/a	dot_stim_validtrials
596.54	1.35	n/a	dot_stim_validtrials
605.57	1.217	n/a	dot_stim_validtrials
613.86	1.084	n/a	dot_stim_validtrials
622.64	1.267	n/a	dot_stim_validtrials
632.17	1.083	n/a	dot_stim_validtrials
640.25	1.3	n/a	dot_stim_validtrials
650.29	1.016	n/a	dot_stim_validtrials
658.57	1.317	n/a	dot_stim_validtrials
678.38	1.284	n/a	dot_stim_validtrials
688.42	1.2	n/a	dot_stim_validtrials
697.95	1.367	n/a	dot_stim_validtrials
707.68	1.317	n/a	dot_stim_validtrials
724.25	1.134	n/a	dot_stim_validtrials
732.28	1.067	n/a	dot_stim_validtrials
753.34	1.117	n/a	dot_stim_validtrials
762.33	1.25	n/a	dot_stim_validtrials
771.11	1.217	n/a	dot_stim_validtrials
779.94	1.033	n/a	dot_stim_validtrials
788.22	1.134	n/a	dot_stim_validtrials
797.51	1.2	n/a	dot_stim_validtrials
807.64	0.95	n/a	dot_stim_validtrials
