onset	duration	param_value	trial_type
4.0034	1	n/a	dot_stim_validtrials
12.536	1.183	n/a	dot_stim_validtrials
22.818	0.917	n/a	dot_stim_validtrials
32.101	1.15	n/a	dot_stim_validtrials
41.933	1.117	n/a	dot_stim_validtrials
51.716	1.366	n/a	dot_stim_validtrials
60.249	1.1	n/a	dot_stim_validtrials
70.081	1.216	n/a	dot_stim_validtrials
77.864	1.234	n/a	dot_stim_validtrials
86.646	1.3	n/a	dot_stim_validtrials
95.429	1.333	n/a	dot_stim_validtrials
105.96	1.083	n/a	dot_stim_validtrials
115.99	1.166	n/a	dot_stim_validtrials
125.28	1	n/a	dot_stim_validtrials
135.81	1.166	n/a	dot_stim_validtrials
145.44	1.167	n/a	dot_stim_validtrials
155.11	1.133	n/a	dot_stim_validtrials
163.99	1.166	n/a	dot_stim_validtrials
172.27	1.05	n/a	dot_stim_validtrials
182.56	1.116	n/a	dot_stim_validtrials
191.84	1.117	n/a	dot_stim_validtrials
200.87	0.933	n/a	dot_stim_validtrials
209.65	1.134	n/a	dot_stim_validtrials
219.94	1.183	n/a	dot_stim_validtrials
228.17	0.934	n/a	dot_stim_validtrials
236.2	1	n/a	dot_stim_validtrials
246.23	1.183	n/a	dot_stim_validtrials
256.77	1.167	n/a	dot_stim_validtrials
265.55	0.85	n/a	dot_stim_validtrials
275.63	1.15	n/a	dot_stim_validtrials
286.41	0.9	n/a	dot_stim_validtrials
295.45	0.884	n/a	dot_stim_validtrials
303.98	0.967	n/a	dot_stim_validtrials
312.01	1.034	n/a	dot_stim_validtrials
320.54	0.85	n/a	dot_stim_validtrials
329.93	1.05	n/a	dot_stim_validtrials
340.46	0.8	n/a	dot_stim_validtrials
360.97	1.033	n/a	dot_stim_validtrials
370.01	1.2	n/a	dot_stim_validtrials
381.54	0.85	n/a	dot_stim_validtrials
390.82	1.033	n/a	dot_stim_validtrials
402.1	0.9	n/a	dot_stim_validtrials
413.64	0.967	n/a	dot_stim_validtrials
421.72	1.033	n/a	dot_stim_validtrials
430.75	1	n/a	dot_stim_validtrials
441.28	1	n/a	dot_stim_validtrials
462.85	1.15	n/a	dot_stim_validtrials
472.38	1	n/a	dot_stim_validtrials
482.41	1.05	n/a	dot_stim_validtrials
492.45	1.1	n/a	dot_stim_validtrials
508.76	1.366	n/a	dot_stim_validtrials
546.61	1.301	n/a	dot_stim_validtrials
556.34	0.983	n/a	dot_stim_validtrials
566.37	1.117	n/a	dot_stim_validtrials
575.66	0.983	n/a	dot_stim_validtrials
584.19	1.05	n/a	dot_stim_validtrials
592.97	1.067	n/a	dot_stim_validtrials
602.2	1	n/a	dot_stim_validtrials
613.74	1.167	n/a	dot_stim_validtrials
624.77	1.333	n/a	dot_stim_validtrials
633.55	1.334	n/a	dot_stim_validtrials
642.58	1	n/a	dot_stim_validtrials
652.42	1.15	n/a	dot_stim_validtrials
660.7	0.967	n/a	dot_stim_validtrials
670.98	1.117	n/a	dot_stim_validtrials
679.51	1.017	n/a	dot_stim_validtrials
689.05	1.216	n/a	dot_stim_validtrials
699.58	1.217	n/a	dot_stim_validtrials
708.11	1.05	n/a	dot_stim_validtrials
716.69	1.067	n/a	dot_stim_validtrials
725.23	1.283	n/a	dot_stim_validtrials
735.01	1.45	n/a	dot_stim_validtrials
744.29	1.333	n/a	dot_stim_validtrials
752.32	1.233	n/a	dot_stim_validtrials
761.11	1.25	n/a	dot_stim_validtrials
769.89	1	n/a	dot_stim_validtrials
780.67	1.184	n/a	dot_stim_validtrials
789.2	1.433	n/a	dot_stim_validtrials
798.49	1.317	n/a	dot_stim_validtrials
807.02	1.133	n/a	dot_stim_validtrials
824.33	1.184	n/a	dot_stim_validtrials
833.62	1.116	n/a	dot_stim_validtrials
843.2	1.267	n/a	dot_stim_validtrials
851.98	1.167	n/a	dot_stim_validtrials
863.26	1.184	n/a	dot_stim_validtrials
871.25	1.117	n/a	dot_stim_validtrials
880.53	1.167	n/a	dot_stim_validtrials
888.61	1.25	n/a	dot_stim_validtrials
896.9	0.95	n/a	dot_stim_validtrials
908.68	1.3	n/a	dot_stim_validtrials
918.71	1.266	n/a	dot_stim_validtrials
928.84	1.05	n/a	dot_stim_validtrials
936.88	1.117	n/a	dot_stim_validtrials
945.41	1.217	n/a	dot_stim_validtrials
955.19	1.333	n/a	dot_stim_validtrials
962.82	1.333	n/a	dot_stim_validtrials
971.11	1.267	n/a	dot_stim_validtrials
980.14	1.033	n/a	dot_stim_validtrials
987.87	0.867	n/a	dot_stim_validtrials
997.7	1.2	n/a	dot_stim_validtrials
1006.7	1.233	n/a	dot_stim_validtrials
1014.8	1.334	n/a	dot_stim_validtrials
1025.6	1	n/a	dot_stim_validtrials
1034.8	0.834	n/a	dot_stim_validtrials
1042.5	1.433	n/a	dot_stim_validtrials
1081.1	1.166	n/a	dot_stim_validtrials
1089.2	1.15	n/a	dot_stim_validtrials
1097.7	0.85	n/a	dot_stim_validtrials
1115.1	0.967	n/a	dot_stim_validtrials
1123.5	1.033	n/a	dot_stim_validtrials
1130.8	0.933	n/a	dot_stim_validtrials
1140.5	1.15	n/a	dot_stim_validtrials
1150.1	1.067	n/a	dot_stim_validtrials
1157.7	1.083	n/a	dot_stim_validtrials
1168.8	1.05	n/a	dot_stim_validtrials
1178.2	1.033	n/a	dot_stim_validtrials
1186.8	1.384	n/a	dot_stim_validtrials
1195.3	0.9	n/a	dot_stim_validtrials
1203.8	1.183	n/a	dot_stim_validtrials
1213.2	1.033	n/a	dot_stim_validtrials
1222.4	1.017	n/a	dot_stim_validtrials
1231.7	0.933	n/a	dot_stim_validtrials
1241.2	0.95	n/a	dot_stim_validtrials
1250.3	1.167	n/a	dot_stim_validtrials
1260.3	0.967	n/a	dot_stim_validtrials
1270.8	1.133	n/a	dot_stim_validtrials
1280.4	1.134	n/a	dot_stim_validtrials
1288.6	0.967	n/a	dot_stim_validtrials
1296.1	0.916	n/a	dot_stim_validtrials
1306.7	0.95	n/a	dot_stim_validtrials
1315.7	1	n/a	dot_stim_validtrials
1325.2	1.167	n/a	dot_stim_validtrials
1333.5	0.933	n/a	dot_stim_validtrials
1343.3	1.084	n/a	dot_stim_validtrials
1362.1	1.134	n/a	dot_stim_validtrials
1370.4	1.084	n/a	dot_stim_validtrials
1380.5	1.333	n/a	dot_stim_validtrials
1391.3	1.25	n/a	dot_stim_validtrials
1400.1	1.166	n/a	dot_stim_validtrials
1407.9	1.317	n/a	dot_stim_validtrials
1415.7	1.267	n/a	dot_stim_validtrials
1423.7	1.183	n/a	dot_stim_validtrials
1434.2	1.217	n/a	dot_stim_validtrials
1444.5	1.366	n/a	dot_stim_validtrials
1452.4	1.084	n/a	dot_stim_validtrials
1470.5	1.134	n/a	dot_stim_validtrials
1479.2	1.067	n/a	dot_stim_validtrials
1487.4	1.05	n/a	dot_stim_validtrials
1495.2	1.3	n/a	dot_stim_validtrials
1504.2	1.317	n/a	dot_stim_validtrials
1513.7	1.4	n/a	dot_stim_validtrials
1522.3	1.35	n/a	dot_stim_validtrials
1532.5	1.234	n/a	dot_stim_validtrials
5.0034	n/a	n/a	dot_resp_validtrials
13.719	n/a	n/a	dot_resp_validtrials
23.735	n/a	n/a	dot_resp_validtrials
33.251	n/a	n/a	dot_resp_validtrials
43.05	n/a	n/a	dot_resp_validtrials
53.082	n/a	n/a	dot_resp_validtrials
61.349	n/a	n/a	dot_resp_validtrials
71.297	n/a	n/a	dot_resp_validtrials
79.098	n/a	n/a	dot_resp_validtrials
87.946	n/a	n/a	dot_resp_validtrials
96.762	n/a	n/a	dot_resp_validtrials
107.04	n/a	n/a	dot_resp_validtrials
117.16	n/a	n/a	dot_resp_validtrials
126.28	n/a	n/a	dot_resp_validtrials
136.97	n/a	n/a	dot_resp_validtrials
146.61	n/a	n/a	dot_resp_validtrials
156.24	n/a	n/a	dot_resp_validtrials
165.16	n/a	n/a	dot_resp_validtrials
173.32	n/a	n/a	dot_resp_validtrials
183.67	n/a	n/a	dot_resp_validtrials
192.95	n/a	n/a	dot_resp_validtrials
201.8	n/a	n/a	dot_resp_validtrials
210.79	n/a	n/a	dot_resp_validtrials
221.12	n/a	n/a	dot_resp_validtrials
229.1	n/a	n/a	dot_resp_validtrials
237.2	n/a	n/a	dot_resp_validtrials
247.42	n/a	n/a	dot_resp_validtrials
257.93	n/a	n/a	dot_resp_validtrials
266.4	n/a	n/a	dot_resp_validtrials
276.78	n/a	n/a	dot_resp_validtrials
287.31	n/a	n/a	dot_resp_validtrials
296.33	n/a	n/a	dot_resp_validtrials
304.95	n/a	n/a	dot_resp_validtrials
313.04	n/a	n/a	dot_resp_validtrials
321.39	n/a	n/a	dot_resp_validtrials
330.98	n/a	n/a	dot_resp_validtrials
341.26	n/a	n/a	dot_resp_validtrials
362.01	n/a	n/a	dot_resp_validtrials
371.21	n/a	n/a	dot_resp_validtrials
382.39	n/a	n/a	dot_resp_validtrials
391.85	n/a	n/a	dot_resp_validtrials
403	n/a	n/a	dot_resp_validtrials
414.6	n/a	n/a	dot_resp_validtrials
422.75	n/a	n/a	dot_resp_validtrials
431.75	n/a	n/a	dot_resp_validtrials
442.28	n/a	n/a	dot_resp_validtrials
